City,State,District
Jintur,Maharashtra,Parbhani
Jiran,Madhya Pradesh,Neemuch
Jirapur,Madhya Pradesh,Rajgarh
Jiribam,Manipur,Imphal East
Jiwan Pur alias Johri Pur,Delhi *,North East
Jiyanpur,Uttar Pradesh,Azamgarh
Jobat,Madhya Pradesh,Jhabua
Jobner,Rajasthan,Jaipur
Joda,Orissa,Kendujhar
Jodhpur,Gujarat,Ahmadabad
Jodhpur,Rajasthan,Jodhpur
Jog Falls,Karnataka,Shimoga
Jogbani,Bihar,Araria
Jogendranagar,Tripura,West Tripura
Jogindarnagar,Himachal Pradesh,Mandi
Jolarpet,Tamil Nadu,Vellore
Jona Pur,Delhi *,South
Jonai Bazar,Assam,Dhemaji
Jorapokhar,Jharkhand,Dhanbad
Jorethang,Sikkim,South
Jorhat,Assam,Jorhat
Joshimath,Uttaranchal,Chamoli
Joshipura,Gujarat,Junagadh
Jot Kamal,West Bengal,Murshidabad
Joura,Madhya Pradesh,Morena
Jourian,Jammu & Kashmir,Jammu
Joya,Uttar Pradesh,Jyotiba Phule Nagar
Jubbal,Himachal Pradesh,Shimla
Jugial,Punjab,Gurdaspur
Jugsalai,Jharkhand,Purbi Singhbhum
Julana,Haryana,Jind
Junagadh,Gujarat,Junagadh
Junagarh,Orissa,Kalahandi
Junnar,Maharashtra,Pune
Jutogh,Himachal Pradesh,Shimla
Jyoti Khuria,Uttar Pradesh,Mainpuri
Kabnur,Maharashtra,Kolhapur
Kabrai,Uttar Pradesh,Mahoba
Kachhauna Patseni,Uttar Pradesh,Hardoi
Kachhla,Uttar Pradesh,Budaun
Kachhwa,Uttar Pradesh,Mirzapur
Kachnal Gosain,Uttaranchal,Udham Singh Nagar
Kachu Pukur,West Bengal,Maldah
Kadachira,Kerala,Kannur
Kadamakkudy,Kerala,Ernakulam
Kadambur,Tamil Nadu,Toothukudi
Kadathur,Tamil Nadu,Dharmapuri
Kadaura,Uttar Pradesh,Jalaun
Kadayal,Tamil Nadu,Kanniyakumari
Kadayampatti,Tamil Nadu,Salem
Kadayanallur,Tamil Nadu,Tirunelveli
Kadi,Gujarat,Mahesana
Kadipur,Uttar Pradesh,Sultanpur
Kadiri,Andhra Pradesh,Anantapur
Kadirur,Kerala,Kannur
Kadodara,Gujarat,Surat
Kadungalloor,Kerala,Ernakulam
Kadur,Karnataka,Chikmagalur
Kagal,Maharashtra,Kolhapur
Kaghaznagar,Andhra Pradesh,Adilabad
Kailaras,Madhya Pradesh,Morena
Kailasahar,Tripura,North Tripura
Kailashpur,Uttar Pradesh,Saharanpur
Kailudih,Jharkhand,Dhanbad
Kaimganj,Uttar Pradesh,Farrukhabad
Kairana,Uttar Pradesh,Muzaffarnagar
Kaithal,Haryana,Kaithal
Kaithoon,Rajasthan,Kota
Kajora,West Bengal,Barddhaman
Kakarhati,Madhya Pradesh,Panna
Kakching,Manipur,Thoubal
Kakching Khunou,Manipur,Thoubal
Kakdihi,West Bengal,Medinipur
Kakgaina,Uttar Pradesh,Bareilly
Kakinada,Andhra Pradesh,East Godavari
Kakod,Uttar Pradesh,Gautam Buddha Nagar
Kakori,Uttar Pradesh,Lucknow
Kakrala,Uttar Pradesh,Budaun
Kaladungi,Uttaranchal,Nainital
Kalakkad,Tamil Nadu,Tirunelveli
Kalamassery,Kerala,Ernakulam
Kalamb,Maharashtra,Osmanabad
Kalambe Turf Thane,Maharashtra,Kolhapur
Kalambur,Tamil Nadu,Tiruvanamalai
Kalameshwar,Maharashtra,Nagpur
Kalamnuri,Maharashtra,Hingoli
Kalan Wali,Haryana,Sirsa
Kalanaur,Punjab,Gurdaspur
Kalanaur,Haryana,Rohtak
Kalapatti,Tamil Nadu,Coimbatore
Kalappanaickenpatti,Tamil Nadu,Namakkal
Kalara,West Bengal,Haora
Kalavad,Gujarat,Jamnagar
Kalavai,Tamil Nadu,Vellore
Kalayat,Haryana,Kaithal
Kalghatgi,Karnataka,Dharwad
Kali,Gujarat,Ahmadabad
Kali Chhapar,Madhya Pradesh,Chhindwara
Kaliaganj,West Bengal,Uttar Dinajpur
Kalikapur,Jharkhand,Pashchimi Singhbhum
Kalimpong,West Bengal,Darjiling
Kalinagar,Uttar Pradesh,Pilibhit
Kalinjur,Tamil Nadu,Vellore
Kaliyakkavilai,Tamil Nadu,Kanniyakumari
Kalka,Haryana,Panchkula
Kalladaikurichi,Tamil Nadu,Tirunelveli
Kallakkurichi,Tamil Nadu,Viluppuram
Kallakudi,Tamil Nadu,Tiruchirappalli
Kalliasseri,Kerala,Kannur
Kallukuttam,Tamil Nadu,Kanniyakumari
Kallur,Andhra Pradesh,Kurnool
Kalna,West Bengal,Barddhaman
Kalol,Gujarat,Gandhinagar
Kalol,Gujarat,Panch Mahals
Kalol INA,Gujarat,Gandhinagar
Kalol INA,Gujarat,Panch Mahals
Kalpetta,Kerala,Wayanad
Kalpi,Uttar Pradesh,Jalaun
Kalugumalai,Tamil Nadu,Toothukudi
Kalundre,Maharashtra,Raigarh
Kalyan-Dombivali,Maharashtra,Thane
Kalyandurg,Andhra Pradesh,Anantapur
Kalyani,West Bengal,Nadia
Kamakshyanagar,Orissa,Dhenkanal
Kamalapuram,Karnataka,Bellary
Kamalganj,Uttar Pradesh,Farrukhabad
Kamalpur,Tripura,Dhalai
Kaman,Rajasthan,Bharatpur
Kamareddy,Andhra Pradesh,Nizamabad
Kamarhati,West Bengal,North Twentyfour Parganas
Kamayagoundanpatti,Tamil Nadu,Theni
Kambainallur,Tamil Nadu,Dharmapuri
Kambam,Tamil Nadu,Theni
Kampil,Uttar Pradesh,Farrukhabad
Kampli,Karnataka,Bellary
Kamptee,Maharashtra,Nagpur
Kamptee,Maharashtra,Nagpur
Kampur Town,Assam,Nagaon
Kamuthi,Tamil Nadu,Ramanathapuram
Kanad,Madhya Pradesh,Shajapur
Kanadukathan,Tamil Nadu,Sivaganga
Kanaipur,West Bengal,Hugli
Kanakapura,Karnataka,Bangalore Rural
Kanakkampalayam,Tamil Nadu,Coimbatore
Kanakpur Part-II,Assam,Cachar
Kanam,Tamil Nadu,Toothukudi
Kanapaka,Andhra Pradesh,Vizianagaram
Kanchanpur,Tripura,Dhalai
Kancheepuram,Tamil Nadu,Kancheepuram
Kanchrapara,West Bengal,North Twentyfour Parganas
Kandanur,Tamil Nadu,Sivaganga
Kandari,Maharashtra,Jalgaon
Kandhar,Maharashtra,Nanded
Kandhla,Uttar Pradesh,Muzaffarnagar
Kandi,West Bengal,Murshidabad
Kandla,Gujarat,Kachchh
Kandra,Jharkhand,Pashchimi Singhbhum
Kandri,Maharashtra,Nagpur
Kandri,Maharashtra,Nagpur
Kandukur,Andhra Pradesh,Prakasam
Kandwa,Uttar Pradesh,Varanasi
Kangayampalayam,Tamil Nadu,Coimbatore
Kangeyam,Tamil Nadu,Erode
Kangeyanallur,Tamil Nadu,Vellore
Kangra,Himachal Pradesh,Kangra
Kangrali (BK),Karnataka,Belgaum
Kangrali (KH),Karnataka,Belgaum
Kanhan (Pipri),Maharashtra,Nagpur
Kanhangad,Kerala,Kasaragod
Kanhirode,Kerala,Kannur
Kanina,Haryana,Mahendragarh
Kaniyur,Tamil Nadu,Coimbatore
Kanjhawala,Delhi *,North West
Kanjikkuzhi,Kerala,Alappuzha
Kanjikoil,Tamil Nadu,Erode
Kankavli,Maharashtra,Sindhudurg
Kanke,Jharkhand,Ranchi
Kanker,Chhattisgarh,Kanker
Kankuria,West Bengal,Murshidabad
Kannad,Maharashtra,Aurangabad
Kannadendal,Tamil Nadu,Madurai
Kannadiparamba,Kerala,Kannur
Kannamangalam,Tamil Nadu,Tiruvanamalai
Kannampalayam,Tamil Nadu,Coimbatore
Kannankurichi,Tamil Nadu,Salem
Kannapuram,Kerala,Kannur
Kannauj,Uttar Pradesh,Kannauj
Kannivadi,Tamil Nadu,Erode
Kannivadi,Tamil Nadu,Dindigul
Kanniyakumari,Tamil Nadu,Kanniyakumari
Kannod,Madhya Pradesh,Dewas
Kannur,Kerala,Kannur
Kannur,Karnataka,Dakshina Kannada
Kannur Cantonment,Kerala,Kannur
Kanodar,Gujarat,Banas Kantha
Kanor,Rajasthan,Udaipur
Kanpur,Uttar Pradesh,Kanpur Nagar
Kanpur,Uttar Pradesh,Kanpur Nagar
Kansepur,Haryana,Yamunanagar
Kantabamsuguda,Andhra Pradesh,Visakhapatnam
Kantabanji,Orissa,Balangir
Kantaphod,Madhya Pradesh,Dewas
Kanth,Uttar Pradesh,Moradabad
Kanth,Uttar Pradesh,Shahjahanpur
Kanti,Bihar,Muzaffarpur
Kantilo,Orissa,Nayagarh
Kantlia,West Bengal,Haora
Kanuru,Andhra Pradesh,Krishna
Kanyanagar,West Bengal,South Twentyfour Parganas
Kapadvanj,Gujarat,Kheda
Kapas Hera,Delhi *,South West
Kapasan,Rajasthan,Chittaurgarh
Kappiyarai,Tamil Nadu,Kanniyakumari
Kapra,Andhra Pradesh,Rangareddi
Kaprain,Rajasthan,Bundi
Kaptanganj,Uttar Pradesh,Kushinagar
Kapurthala,Punjab,Kapurthala
Karachiya,Gujarat,Vadodara
Karad,Maharashtra,Satara
Karaikal,Pondicherry *,Karaikal
Karaikkudi,Tamil Nadu,Sivaganga
Karamadai,Tamil Nadu,Coimbatore
Karambakkam,Tamil Nadu,Thiruvallur
Karambakkudi,Tamil Nadu,Pudukkottai
Karamsad,Gujarat,Anand
Karanja,Maharashtra,Washim
Karanje Turf Satara,Maharashtra,Satara
Karanjia,Orissa,Mayurbhanj
Karanpur,Rajasthan,Ganganagar
Karari,Uttar Pradesh,Kaushambi
Karauli,Rajasthan,Karauli
Karawal Nagar,Delhi *,North East
Kardhan,Haryana,Ambala
Kareli,Madhya Pradesh,Narsimhapur
Karera,Madhya Pradesh,Shivpuri
Kargil,Jammu & Kashmir,Kargil
Karhal,Uttar Pradesh,Mainpuri
Kari,Madhya Pradesh,Tikamgarh
Kariamangalam,Tamil Nadu,Dharmapuri
Kariapatti,Tamil Nadu,Virudhunagar
Karimganj,Assam,Karimganj
Karimnagar,Andhra Pradesh,Karimnagar
Karimpur,West Bengal,Nadia
Karivali,Maharashtra,Thane
Karjan,Gujarat,Vadodara
Karjat,Maharashtra,Raigarh
Karkal,Karnataka,Udupi
Karmala,Maharashtra,Solapur
Karn Prayag,Uttaranchal,Chamoli
Karnal,Haryana,Karnal
Karnawad,Madhya Pradesh,Dewas
Karnawal,Uttar Pradesh,Meerut
Karoran,Punjab,Rupnagar
Karrapur,Madhya Pradesh,Sagar
Kartarpur,Punjab,Jalandhar
Karugampattur,Tamil Nadu,Vellore
Karumandi Chellipalayam,Tamil Nadu,Erode
Karumathampatti,Tamil Nadu,Coimbatore
Karungal,Tamil Nadu,Kanniyakumari
Karunguzhi,Tamil Nadu,Kancheepuram
Karuppur,Tamil Nadu,Salem
Karur,Tamil Nadu,Kapur
Karuvanthuruthy,Kerala,Kozhikode
Karwar,Karnataka,Uttara Kannada
Kasara Budruk,Maharashtra,Thane
Kasaragod,Kerala,Kasaragod
Kasauli,Himachal Pradesh,Solan
Kasba,West Bengal,Uttar Dinajpur
Kasba,Bihar,Purnia
Kasganj,Uttar Pradesh,Etah
Kashinagara,Orissa,Gajapati
Kashipur,Uttaranchal,Udham Singh Nagar
Kashirampur,Uttaranchal,Garhwal
Kasim Bazar,West Bengal,Murshidabad
Kasipalayam (E),Tamil Nadu,Erode
Kasipalayam (G),Tamil Nadu,Erode
Kasrawad,Madhya Pradesh,West Nimar
Katai,Maharashtra,Thane
Kataiya,Bihar,Gopalganj
Katangi,Madhya Pradesh,Jabalpur
Katangi,Madhya Pradesh,Balaghat
Katariya,Uttar Pradesh,Ambedaker Nagar
Katghar Lalganj,Uttar Pradesh,Azamgarh
Katghora,Chhattisgarh,Korba
Kathera,Uttar Pradesh,Jhansi
Kathua,Jammu & Kashmir,Kathua
Kathujuganapalli,Tamil Nadu,Dharmapuri
Katihar,Bihar,Katihar
Katkar,Maharashtra,Thane
Katol,Maharashtra,Nagpur
Katpadi,Tamil Nadu,Vellore
Katpar,Gujarat,Bhavnagar
Katra,Jammu & Kashmir,Udhampur
Katra,Uttar Pradesh,Shahjahanpur
Katra,Uttar Pradesh,Gonda
Katra Medniganj,Uttar Pradesh,Pratapgarh
Katras,Jharkhand,Dhanbad
Kattivakkam,Tamil Nadu,Thiruvallur
Kattumannarkoil,Tamil Nadu,Cuddalore
Kattuputhur,Tamil Nadu,Tiruchirappalli
Katwa,West Bengal,Barddhaman
Kaugachhi,West Bengal,North Twentyfour Parganas
Kauriaganj,Uttar Pradesh,Aligarh
Kavali,Andhra Pradesh,Nellore
Kavaratti,Lakshadweep *,Lakshadweep
Kaveripakkam,Tamil Nadu,Vellore
Kaveripattinam,Tamil Nadu,Dharmapuri
Kavisuryanagar,Orissa,Ganjam
Kawardha,Chhattisgarh,Kawardha
Kayalpattinam,Tamil Nadu,Toothukudi
Kayamkulam,Kerala,Alappuzha
Kayatharu,Tamil Nadu,Toothukudi
Kedarnath,Uttaranchal,Rudraprayag
Kedla,Jharkhand,Hazaribag
Keelakarai,Tamil Nadu,Ramanathapuram
Keeramangalam,Tamil Nadu,Pudukkottai
Keeranur,Tamil Nadu,Dindigul
Keeranur,Tamil Nadu,Pudukkottai
Keeripatti,Tamil Nadu,Salem
Keezhapavur,Tamil Nadu,Tirunelveli
Kegaon,Maharashtra,Raigarh
Kekri,Rajasthan,Ajmer
Kela Khera,Uttaranchal,Udham Singh Nagar
Kelamangalam,Tamil Nadu,Dharmapuri
Kelhauri(chachai),Madhya Pradesh,Shahdol
Kembainaickenpalayam,Tamil Nadu,Erode
Kemri,Uttar Pradesh,Rampur
Kenda,West Bengal,Barddhaman
Kendra Khottamdi,West Bengal,Barddhaman
Kendrapara,Orissa,Kendrapara
Kendua,West Bengal,Maldah
Kenduadih,Jharkhand,Dhanbad
Kendujhar,Orissa,Kendujhar
Kengeri,Karnataka,Bangalore
Kerakat,Uttar Pradesh,Jaunpur
Kerur,Karnataka,Bagalkot
Kesabpur,West Bengal,Haora
Keshod,Gujarat,Junagadh
Keshoraipatan,Rajasthan,Bundi
Kesinga,Orissa,Kalahandi
Kesrisinghpur,Rajasthan,Ganganagar
Kethi,Tamil Nadu,The Nilgiris
Kevadiya,Gujarat,Narmada
Khachrod,Madhya Pradesh,Ujjain
Khadda,Uttar Pradesh,Kushinagar
Khadkale,Maharashtra,Pune
Khaga,Uttar Pradesh,Fatehpur
Khagaria,Bihar,Khagaria
Khagaul,Bihar,Patna
Khagrabari,West Bengal,Koch Bihar
Khailar,Uttar Pradesh,Jhansi
Khair,Uttar Pradesh,Aligarh
Khairabad,Uttar Pradesh,Sitapur
Khairabad,Uttar Pradesh,Mau
Khairagarh,Chhattisgarh,Rajnandgaon
Khairthal,Rajasthan,Alwar
Khajoori Khas,Delhi *,North East
Khajuraho,Madhya Pradesh,Chhatarpur
Khalia,West Bengal,Haora
Khaliapali,Orissa,Bargarh
Khalikote,Orissa,Ganjam
Khalilabad,Uttar Pradesh,Sant Kabir Nagar
Khalor,West Bengal,Haora
Khamanon,Punjab,Fatehgarh Sahib
Khamaria,Uttar Pradesh,Sant Ravidas Nagar
Khambhalia,Gujarat,Jamnagar
Khambhat,Gujarat,Anand
Khamgaon,Maharashtra,Buldana
Khamhria,Chhattisgarh,Durg
Khammam,Andhra Pradesh,Khammam
Khan Sahib,Jammu & Kashmir,Badgam
Khanapur,Karnataka,Belgaum
Khanauri,Punjab,Sangrur
Khand(Bansagar),Madhya Pradesh,Shahdol
Khandapada,Orissa,Nayagarh
Khandela,Rajasthan,Sikar
Khandra,West Bengal,Barddhaman
Khandwa,Madhya Pradesh,East Nimar
Khaniyadhana,Madhya Pradesh,Shivpuri
Khanna,Punjab,Ludhiana
Khanpur,Uttar Pradesh,Bulandshahr
Khantora,West Bengal,Haora
Khapa,Maharashtra,Nagpur
Kharaghoda,Gujarat,Surendranagar
Kharagpur,West Bengal,Medinipur
Kharagpur,Bihar,Munger
Kharagpur Rly. Settlement,West Bengal,Medinipur
Kharar,Punjab,Rupnagar
Kharar,West Bengal,Medinipur
Khardaha,West Bengal,North Twentyfour Parganas
Kharela,Uttar Pradesh,Mahoba
Khargapur,Madhya Pradesh,Tikamgarh
Khargone,Madhya Pradesh,West Nimar
Khargupur,Uttar Pradesh,Gonda
Khariar,Orissa,Nuapada
Khariar Road,Orissa,Nuapada
Kharijapikon,Assam,Goalpara
Kharimala Khagrabari,West Bengal,Koch Bihar
Khariya,Uttar Pradesh,Sonbhadra
Kharkhari,Jharkhand,Dhanbad
Kharkhoda,Uttar Pradesh,Meerut
Kharkhoda,Haryana,Sonipat
Kharod,Chhattisgarh,Janjgir-Champa
Kharsarai,West Bengal,Hugli
Kharsawan,Jharkhand,Pashchimi Singhbhum
Kharsia,Chhattisgarh,Raigarh
Kharupatia,Assam,Darrang
Khatauli,Uttar Pradesh,Muzaffarnagar
Khatauli Rural,Uttar Pradesh,Muzaffarnagar
Khategaon,Madhya Pradesh,Dewas
Khatiguda,Orissa,Nabarangapur
Khatima,Uttaranchal,Udham Singh Nagar
Khawhai,Mizoram,Champhai
Khawzawl,Mizoram,Champhai
Khed,Maharashtra,Satara
Khed,Maharashtra,Ratnagiri
Kheda,Gujarat,Kheda
Khedbrahma,Gujarat,Sabar Kantha
Khekada,Uttar Pradesh,Baghpat
Khelari,Jharkhand,Ranchi
Khem Karan,Punjab,Amritsar
Khera Khurd,Delhi *,North West
Kheragarh,Uttar Pradesh,Agra
Kheralu,Gujarat,Mahesana
Kherdi,Maharashtra,Ratnagiri
Kheri,Uttar Pradesh,Kheri
Kherli,Rajasthan,Alwar
Kherliganj,Rajasthan,Baran
Kherwara Chhaoni,Rajasthan,Udaipur
Kheta Sarai,Uttar Pradesh,Jaunpur
Khetia,Madhya Pradesh,Barwani
Khetri,Rajasthan,Jhunjhunun
Khilchipur,Madhya Pradesh,Rajgarh
Khirkiya,Madhya Pradesh,Harda
Khodarampur,West Bengal,Murshidabad
Khongapani,Chhattisgarh,Koriya
Khongman,Manipur,Imphal East
Khoni,Maharashtra,Thane
Khonsa,Arunachal Pradesh,Tirap
Khopoli,Maharashtra,Raigarh
Khordha,Orissa,Khordha
Khour,Jammu & Kashmir,Jammu
Khowai,Tripura,West Tripura
Khrew,Jammu & Kashmir,Pulwama
Khudaganj,Uttar Pradesh,Shahjahanpur
Khujner,Madhya Pradesh,Rajgarh
Khuldabad,Maharashtra,Aurangabad
Khunti,Jharkhand,Ranchi
Khurai,Madhya Pradesh,Sagar
Khurja,Uttar Pradesh,Bulandshahr
Khusrupur,Bihar,Patna
Khutar,Uttar Pradesh,Shahjahanpur
Kichha,Uttaranchal,Udham Singh Nagar
Kilampadi,Tamil Nadu,Erode
Kilkulam,Tamil Nadu,Kanniyakumari
Kilkunda,Tamil Nadu,The Nilgiris
Killiyur,Tamil Nadu,Kanniyakumari
Killlai,Tamil Nadu,Cuddalore
Kilpennathur,Tamil Nadu,Tiruvanamalai
Kilvelur,Tamil Nadu,Nagapattinam
Kinathukadavu,Tamil Nadu,Coimbatore
Kinwat,Maharashtra,Nanded
Kirandul,Chhattisgarh,Dantewada
Kiranipura,Rajasthan,Ajmer
Kiraoli,Uttar Pradesh,Agra
Kirari Suleman Nagar,Delhi *,North West
Kiratpur,Uttar Pradesh,Bijnor
Kiriburu,Jharkhand,Pashchimi Singhbhum
Kirkee,Maharashtra,Pune
Kirtinagar,Uttaranchal,Tehri Garhwal
Kishanganj,Bihar,Kishanganj
Kishangarh,Rajasthan,Alwar
Kishangarh,Rajasthan,Ajmer
Kishangarh Renwal,Rajasthan,Jaipur
Kishni,Uttar Pradesh,Mainpuri
Kishtwar,Jammu & Kashmir,Doda
Kishunpur,Uttar Pradesh,Fatehpur
Kithaur,Uttar Pradesh,Meerut
Koath,Bihar,Rohtas
Koch Bihar,West Bengal,Koch Bihar
Kochi,Kerala,Ernakulam
Kochinda,Orissa,Sambalpur
Kochpara,Assam,Kamrup
Kodaikanal,Tamil Nadu,Dindigul
Kodala,Orissa,Ganjam
Kodalia,West Bengal,Hugli
Kodarma,Jharkhand,Kodarma
Kodavasal,Tamil Nadu,Thiruvarur
Kodigenahalli,Karnataka,Bangalore
Kodinar,Gujarat,Junagadh
Kodiyal,Karnataka,Haveri
Kodoli,Maharashtra,Satara
Kodumudi,Tamil Nadu,Erode
Kodungallur,Kerala,Thrissur
Koeripur,Uttar Pradesh,Sultanpur
Kohima,Nagaland,Kohima
Koilwar,Bihar,Bhojpur
Kokkothamangalam,Kerala,Alappuzha
Kokrajhar,Assam,Kokrajhar
Kolachal,Tamil Nadu,Kanniyakumari
Kolaghat,West Bengal,Medinipur
Kolappalur,Tamil Nadu,Erode
Kolar,Karnataka,Kolar
Kolaras,Madhya Pradesh,Shivpuri
Kolasib,Mizoram,Kolasib
Kolathupalayam,Tamil Nadu,Erode
Kolathur,Tamil Nadu,Salem
Kolazhy,Kerala,Thrissur
Kolhapur,Maharashtra,Kolhapur
Kolkata,West Bengal,Kolkata
Kollam,Kerala,Kollam
Kollankodu,Tamil Nadu,Kanniyakumari
Kollankoil,Tamil Nadu,Erode
Kollegal,Karnataka,Chamarajanagar
Kolvi Mandi Rajendra pura,Rajasthan,Jhalawar
Komalapuram,Kerala,Alappuzha
Komaralingam,Tamil Nadu,Coimbatore
Kombai,Tamil Nadu,Theni
Kon,Maharashtra,Thane
Konanakunte,Karnataka,Bangalore
Konardihi,West Bengal,Barddhaman
Konark,Orissa,Puri
Konavattam,Tamil Nadu,Vellore
Konch,Uttar Pradesh,Jalaun
Kondagaon,Chhattisgarh,Bastar
Kondalampatti,Tamil Nadu,Salem
Kondli,Delhi *,East
Kondumal,Maharashtra,Chandrapur
Konganapuram,Tamil Nadu,Salem
Konnagar,West Bengal,Hugli
Konnur,Karnataka,Belgaum
Kooraikundu,Tamil Nadu,Virudhunagar
Koothappar,Tamil Nadu,Tiruchirappalli
Koothuparamba,Kerala,Kannur
Kopaganj,Uttar Pradesh,Mau
Kopargaon,Maharashtra,Ahmadnagar
Kopharad,Maharashtra,Thane
Koppa,Karnataka,Chikmagalur
Koppal,Karnataka,Koppal
Kora Jahanabad,Uttar Pradesh,Fatehpur
Koradacheri,Tamil Nadu,Thiruvarur
Koraon,Uttar Pradesh,Allahabad
Koraput,Orissa,Koraput
Koratagere,Karnataka,Tumkur
Koratla,Andhra Pradesh,Karimnagar
Koratty,Kerala,Thrissur
Korba,Chhattisgarh,Korba
Korochi,Maharashtra,Kolhapur
Korwa,Uttar Pradesh,Sultanpur
Kosamba,Gujarat,Surat
Kosi Kalan,Uttar Pradesh,Mathura
Kot Fatta,Punjab,Bathinda
Kot Kapura,Punjab,Faridkot
Kota,Chhattisgarh,Bilaspur
Kota,Rajasthan,Kota
Kota,Uttar Pradesh,Sonbhadra
Kotagiri,Tamil Nadu,The Nilgiris
Kotar,Madhya Pradesh,Satna
Kotdwara,Uttaranchal,Garhwal
Kotekara,Karnataka,Dakshina Kannada
Kothagudem,Andhra Pradesh,Khammam
Kothamangalam,Kerala,Ernakulam
Kothavalasa,Andhra Pradesh,Vizianagaram
Kothi,Madhya Pradesh,Satna
Kothinallur,Tamil Nadu,Kanniyakumari
Kothnur,Karnataka,Bangalore
Kotkhai,Himachal Pradesh,Shimla
Kotma,Madhya Pradesh,Shahdol
Kotpad,Orissa,Koraput
Kotputli,Rajasthan,Jaipur
Kotra,Uttar Pradesh,Jalaun
Kottaiyur,Tamil Nadu,Sivaganga
Kottakuppam,Tamil Nadu,Viluppuram
Kottaram,Tamil Nadu,Kanniyakumari
Kottayam,Kerala,Kottayam
Kottayam-Malabar,Kerala,Kannur
Kottivakkam,Tamil Nadu,Kancheepuram
Kottur,Tamil Nadu,Coimbatore
Kotturu,Karnataka,Bellary
Kottuvally,Kerala,Ernakulam
Kotwa,Uttar Pradesh,Varanasi
Kouthanallur,Tamil Nadu,Thiruvarur
Kovilpatti,Tamil Nadu,Toothukudi
Kovurpalle,Andhra Pradesh,Nellore
Kovvur,Andhra Pradesh,West Godavari
Kozhikode,Kerala,Kozhikode
Krishnagiri,Tamil Nadu,Dharmapuri
Krishnanagar,West Bengal,Nadia
Krishnapur,West Bengal,Hugli
Krishnarajanagar,Karnataka,Mysore
Krishnarajapura,Karnataka,Bangalore
Krishnarajasagara,Karnataka,Mandya
Krishnarajpet,Karnataka,Mandya
Krishnarayapuram,Tamil Nadu,Kapur
Krishnasamudram,Tamil Nadu,Tiruchirappalli
Kshidirpur,West Bengal,Nadia
Kshirpai,West Bengal,Medinipur
Kuchaman City,Rajasthan,Nagaur
Kuchanur,Tamil Nadu,Theni
Kuchera,Rajasthan,Nagaur
Kud,Jammu & Kashmir,Udhampur
Kudal,Maharashtra,Sindhudurg
Kudchi,Karnataka,Belgaum
Kudligi,Karnataka,Bellary
Kudlu,Kerala,Kasaragod
Kudremukh,Karnataka,Chikmagalur
Kuhalur,Tamil Nadu,Erode
Kuju,Jharkhand,Hazaribag
Kukatpalle,Andhra Pradesh,Rangareddi
Kukernag,Jammu & Kashmir,Anantnag
Kukshi,Madhya Pradesh,Dhar
Kul Pahar,Uttar Pradesh,Mahoba
Kulasekarapuram,Tamil Nadu,Kanniyakumari
Kulgam,Jammu & Kashmir,Anantnag
Kulihanda,West Bengal,Hugli
Kulithalai,Tamil Nadu,Kapur
Kullu,Himachal Pradesh,Kullu
Kulti,West Bengal,Barddhaman
Kumar Kaibarta Gaon,Assam,Jorhat
Kumarapalayam,Tamil Nadu,Namakkal
Kumarapuram,Tamil Nadu,Kanniyakumari
Kumarghat,Tripura,North Tripura
Kumbakonam,Tamil Nadu,Thanjavur
Kumbhkot,Rajasthan,Kota
Kumbhraj,Madhya Pradesh,Guna
Kumbi,Manipur,Bishnupur
Kumhari,Chhattisgarh,Durg
Kumher,Rajasthan,Bharatpur
Kumta,Karnataka,Uttara Kannada
Kunda,Uttar Pradesh,Pratapgarh
Kundalwadi,Maharashtra,Nanded
Kundapura,Karnataka,Udupi
Kundarki,Uttar Pradesh,Moradabad
Kundgol,Karnataka,Dharwad
Kundrathur,Tamil Nadu,Kancheepuram
Kunigal,Karnataka,Tumkur
Kuniyamuthur,Tamil Nadu,Coimbatore
Kunjaban,Tripura,West Tripura
Kunnamkulam,Kerala,Thrissur
Kunnathur,Tamil Nadu,Erode
Kunustara,West Bengal,Barddhaman
Kunwargaon,Uttar Pradesh,Budaun
Kunzer,Jammu & Kashmir,Baramula
Kuppam,Andhra Pradesh,Chittoor
Kupwara,Jammu & Kashmir,Kupwara
Kurali,Punjab,Rupnagar
Kuraoli,Uttar Pradesh,Mainpuri
Kurara,Uttar Pradesh,Hamirpur
Kurduvadi,Maharashtra,Solapur
Kureekkad,Kerala,Ernakulam
Kurgunta,Karnataka,Gulbarga
Kurichi,Tamil Nadu,Coimbatore
Kurinjipadi,Tamil Nadu,Cuddalore
Kurnool,Andhra Pradesh,Kurnool
Kurpania,Jharkhand,Bokaro
Kursath,Uttar Pradesh,Hardoi
Kursath,Uttar Pradesh,Unnao
Kurseong,West Bengal,Darjiling
Kurthi Jafarpur,Uttar Pradesh,Mau
Kurud,Chhattisgarh,Dhamtari
Kurudampalayam,Tamil Nadu,Coimbatore
Kurumbalur,Tamil Nadu,Perambalur
Kurumbapet,Pondicherry *,Pondicherry
Kurundvad,Maharashtra,Kolhapur
Kurwai,Madhya Pradesh,Vidisha
Kusgaon Budruk,Maharashtra,Pune
Kushalgarh,Rajasthan,Banswara
Kushalnagar,Karnataka,Kodagu
Kushinagar,Uttar Pradesh,Kushinagar
Kushtagi,Karnataka,Koppal
Kusmara,Uttar Pradesh,Mainpuri
Kustai,Jharkhand,Dhanbad
Kuthalam,Tamil Nadu,Nagapattinam
